language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation/humaneval_cpp_to_go.jsonl,0.743902,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation/humaneval_cpp_to_java.jsonl,0.731707,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation/humaneval_cpp_to_js.jsonl,0.853659,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation/humaneval_cpp_to_python.jsonl,0.804878,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation/humaneval_cpp_to_rust.jsonl,0.518293,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation/humaneval_go_to_cpp.jsonl,0.774390,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation/humaneval_go_to_java.jsonl,0.780488,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation/humaneval_go_to_js.jsonl,0.920732,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation/humaneval_go_to_python.jsonl,0.920732,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation/humaneval_go_to_rust.jsonl,0.554878,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation/humaneval_java_to_cpp.jsonl,0.835366,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation/humaneval_java_to_go.jsonl,0.640244,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation/humaneval_java_to_js.jsonl,0.914634,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation/humaneval_java_to_python.jsonl,0.914634,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation/humaneval_java_to_rust.jsonl,0.573171,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation/humaneval_js_to_cpp.jsonl,0.810976,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation/humaneval_js_to_go.jsonl,0.774390,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation/humaneval_js_to_java.jsonl,0.810976,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation/humaneval_js_to_python.jsonl,0.896341,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation/humaneval_js_to_rust.jsonl,0.475610,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation/humaneval_python_to_cpp.jsonl,0.768293,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation/humaneval_python_to_go.jsonl,0.603659,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation/humaneval_python_to_java.jsonl,0.798780,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation/humaneval_python_to_js.jsonl,0.871951,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation/humaneval_python_to_rust.jsonl,0.506098,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation/humaneval_rust_to_cpp.jsonl,0.902439,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation/humaneval_rust_to_go.jsonl,0.652439,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation/humaneval_rust_to_java.jsonl,0.798780,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation/humaneval_rust_to_js.jsonl,0.847561,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation/humaneval_rust_to_python.jsonl,0.841463,,
