language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0826_base/humaneval_cpp_to_go.jsonl,0.099085,0.329376,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0826_base/humaneval_cpp_to_java.jsonl,0.034146,0.140371,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0826_base/humaneval_cpp_to_js.jsonl,0.096037,0.305052,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0826_base/humaneval_cpp_to_python.jsonl,0.079878,0.296421,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0826_base/humaneval_cpp_to_rust.jsonl,0.000000,0.000000,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0826_base/humaneval_go_to_cpp.jsonl,0.163110,0.467545,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0826_base/humaneval_go_to_java.jsonl,0.123171,0.349587,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0826_base/humaneval_go_to_js.jsonl,0.193902,0.534952,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0826_base/humaneval_go_to_python.jsonl,0.066463,0.228474,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0826_base/humaneval_go_to_rust.jsonl,0.000000,0.000000,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0826_base/humaneval_java_to_cpp.jsonl,0.214329,0.624387,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0826_base/humaneval_java_to_go.jsonl,0.364634,0.786626,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0826_base/humaneval_java_to_js.jsonl,0.385366,0.859040,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0826_base/humaneval_java_to_python.jsonl,0.095427,0.337190,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0826_base/humaneval_java_to_rust.jsonl,0.000000,0.000000,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0826_base/humaneval_js_to_cpp.jsonl,0.075915,0.261751,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0826_base/humaneval_js_to_go.jsonl,0.075915,0.241160,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0826_base/humaneval_js_to_java.jsonl,0.071646,0.160714,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0826_base/humaneval_js_to_python.jsonl,0.053963,0.166765,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0826_base/humaneval_js_to_rust.jsonl,0.000000,0.000000,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0826_base/humaneval_python_to_cpp.jsonl,0.012959,0.053263,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0826_base/humaneval_python_to_go.jsonl,0.015549,0.027599,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0826_base/humaneval_python_to_java.jsonl,0.004878,0.022838,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0826_base/humaneval_python_to_js.jsonl,0.045122,0.109105,
