language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0826/humaneval_cpp_to_go.jsonl,0.554878,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0826/humaneval_cpp_to_java.jsonl,0.689024,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0826/humaneval_cpp_to_js.jsonl,0.774390,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0826/humaneval_cpp_to_python.jsonl,0.682927,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0826/humaneval_cpp_to_rust.jsonl,0.487805,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0826/humaneval_go_to_cpp.jsonl,0.603659,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0826/humaneval_go_to_java.jsonl,0.518293,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0826/humaneval_go_to_js.jsonl,0.798780,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0826/humaneval_go_to_python.jsonl,0.743902,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0826/humaneval_go_to_rust.jsonl,0.420732,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0826/humaneval_java_to_cpp.jsonl,0.670732,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0826/humaneval_java_to_go.jsonl,0.518293,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0826/humaneval_java_to_js.jsonl,0.817073,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0826/humaneval_java_to_python.jsonl,0.853659,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0826/humaneval_java_to_rust.jsonl,0.487805,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0826/humaneval_js_to_cpp.jsonl,0.652439,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0826/humaneval_js_to_go.jsonl,0.591463,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0826/humaneval_js_to_java.jsonl,0.554878,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0826/humaneval_js_to_python.jsonl,0.689024,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0826/humaneval_js_to_rust.jsonl,0.530488,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0826/humaneval_python_to_cpp.jsonl,0.463415,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0826/humaneval_python_to_go.jsonl,0.475610,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0826/humaneval_python_to_java.jsonl,0.439024,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0826/humaneval_python_to_js.jsonl,0.786585,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0826/humaneval_python_to_rust.jsonl,0.524390,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0826/humaneval_rust_to_cpp.jsonl,0.682927,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0826/humaneval_rust_to_go.jsonl,0.506098,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0826/humaneval_rust_to_java.jsonl,0.573171,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0826/humaneval_rust_to_js.jsonl,0.780488,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0826/humaneval_rust_to_python.jsonl,0.682927,,
