language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0826_base/humaneval_cpp_to_go.jsonl,0.536585,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0826_base/humaneval_cpp_to_java.jsonl,0.768293,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0826_base/humaneval_cpp_to_js.jsonl,0.664634,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0826_base/humaneval_cpp_to_python.jsonl,0.042683,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0826_base/humaneval_cpp_to_rust.jsonl,0.317073,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0826_base/humaneval_go_to_cpp.jsonl,0.579268,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0826_base/humaneval_go_to_java.jsonl,0.725610,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0826_base/humaneval_go_to_js.jsonl,0.762195,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0826_base/humaneval_go_to_python.jsonl,0.073171,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0826_base/humaneval_go_to_rust.jsonl,0.219512,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0826_base/humaneval_java_to_cpp.jsonl,0.609756,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0826_base/humaneval_java_to_go.jsonl,0.512195,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0826_base/humaneval_java_to_js.jsonl,0.798780,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0826_base/humaneval_java_to_python.jsonl,0.054878,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0826_base/humaneval_java_to_rust.jsonl,0.182927,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0826_base/humaneval_js_to_cpp.jsonl,0.756098,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0826_base/humaneval_js_to_go.jsonl,0.603659,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0826_base/humaneval_js_to_java.jsonl,0.762195,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0826_base/humaneval_js_to_python.jsonl,0.067073,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0826_base/humaneval_js_to_rust.jsonl,0.469512,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0826_base/humaneval_python_to_cpp.jsonl,0.658537,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0826_base/humaneval_python_to_go.jsonl,0.548780,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0826_base/humaneval_python_to_java.jsonl,0.750000,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0826_base/humaneval_python_to_js.jsonl,0.810976,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0826_base/humaneval_python_to_rust.jsonl,0.390244,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0826_base/humaneval_rust_to_cpp.jsonl,0.670732,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0826_base/humaneval_rust_to_go.jsonl,0.493902,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0826_base/humaneval_rust_to_java.jsonl,0.689024,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0826_base/humaneval_rust_to_js.jsonl,0.670732,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0826_base/humaneval_rust_to_python.jsonl,0.048780,,
