language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0911_base_3232/humaneval_cpp_to_go.jsonl,0.408537,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0911_base_3232/humaneval_cpp_to_java.jsonl,0.560976,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0911_base_3232/humaneval_cpp_to_js.jsonl,0.512195,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0911_base_3232/humaneval_cpp_to_python.jsonl,0.554878,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0911_base_3232/humaneval_cpp_to_rust.jsonl,0.323171,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0911_base_3232/humaneval_go_to_cpp.jsonl,0.487805,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0911_base_3232/humaneval_go_to_java.jsonl,0.524390,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0911_base_3232/humaneval_go_to_js.jsonl,0.530488,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0911_base_3232/humaneval_go_to_python.jsonl,0.591463,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0911_base_3232/humaneval_go_to_rust.jsonl,0.292683,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0911_base_3232/humaneval_java_to_cpp.jsonl,0.487805,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0911_base_3232/humaneval_java_to_go.jsonl,0.396341,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0911_base_3232/humaneval_java_to_js.jsonl,0.640244,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0911_base_3232/humaneval_java_to_python.jsonl,0.609756,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0911_base_3232/humaneval_java_to_rust.jsonl,0.310976,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0911_base_3232/humaneval_js_to_cpp.jsonl,0.518293,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0911_base_3232/humaneval_js_to_go.jsonl,0.469512,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0911_base_3232/humaneval_js_to_java.jsonl,0.567073,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0911_base_3232/humaneval_js_to_python.jsonl,0.603659,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0911_base_3232/humaneval_js_to_rust.jsonl,0.274390,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0911_base_3232/humaneval_python_to_cpp.jsonl,0.512195,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0911_base_3232/humaneval_python_to_go.jsonl,0.469512,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0911_base_3232/humaneval_python_to_java.jsonl,0.670732,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0911_base_3232/humaneval_python_to_js.jsonl,0.737805,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0911_base_3232/humaneval_python_to_rust.jsonl,0.353659,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0911_base_3232/humaneval_rust_to_cpp.jsonl,0.512195,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0911_base_3232/humaneval_rust_to_go.jsonl,0.457317,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0911_base_3232/humaneval_rust_to_java.jsonl,0.530488,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0911_base_3232/humaneval_rust_to_js.jsonl,0.609756,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0911_base_3232/humaneval_rust_to_python.jsonl,0.536585,,
