language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_base2/humaneval_cpp_to_go.jsonl,0.756098,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_base2/humaneval_cpp_to_java.jsonl,0.908537,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_base2/humaneval_cpp_to_js.jsonl,0.878049,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_base2/humaneval_cpp_to_python.jsonl,0.829268,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_base2/humaneval_cpp_to_rust.jsonl,0.530488,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_base2/humaneval_go_to_cpp.jsonl,0.884146,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_base2/humaneval_go_to_java.jsonl,0.908537,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_base2/humaneval_go_to_js.jsonl,0.945122,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_base2/humaneval_go_to_python.jsonl,0.920732,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_base2/humaneval_go_to_rust.jsonl,0.634146,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_base2/humaneval_java_to_cpp.jsonl,0.890244,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_base2/humaneval_java_to_go.jsonl,0.756098,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_base2/humaneval_java_to_js.jsonl,0.932927,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_base2/humaneval_java_to_python.jsonl,0.932927,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_base2/humaneval_java_to_rust.jsonl,0.670732,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_base2/humaneval_js_to_cpp.jsonl,0.865854,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_base2/humaneval_js_to_go.jsonl,0.817073,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_base2/humaneval_js_to_java.jsonl,0.896341,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_base2/humaneval_js_to_python.jsonl,0.896341,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_base2/humaneval_js_to_rust.jsonl,0.628049,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_base2/humaneval_python_to_cpp.jsonl,0.884146,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_base2/humaneval_python_to_go.jsonl,0.756098,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_base2/humaneval_python_to_java.jsonl,0.878049,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_base2/humaneval_python_to_js.jsonl,0.896341,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_base2/humaneval_python_to_rust.jsonl,0.640244,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_base2/humaneval_rust_to_cpp.jsonl,0.939024,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_base2/humaneval_rust_to_go.jsonl,0.701220,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_base2/humaneval_rust_to_java.jsonl,0.890244,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_base2/humaneval_rust_to_js.jsonl,0.804878,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_base2/humaneval_rust_to_python.jsonl,0.865854,,
