language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/grpo_0116/humaneval_cpp_to_go.jsonl,0.231707,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/grpo_0116/humaneval_cpp_to_java.jsonl,0.329268,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/grpo_0116/humaneval_cpp_to_js.jsonl,0.432927,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/grpo_0116/humaneval_cpp_to_python.jsonl,0.396341,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/grpo_0116/humaneval_cpp_to_rust.jsonl,0.292683,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/grpo_0116/humaneval_go_to_cpp.jsonl,0.310976,,
java,/workspace/codegeex/benchmark/humaneval-x/go/grpo_0116/humaneval_go_to_java.jsonl,0.390244,,
js,/workspace/codegeex/benchmark/humaneval-x/go/grpo_0116/humaneval_go_to_js.jsonl,0.469512,,
python,/workspace/codegeex/benchmark/humaneval-x/go/grpo_0116/humaneval_go_to_python.jsonl,0.615854,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/grpo_0116/humaneval_go_to_rust.jsonl,0.371951,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/grpo_0116/humaneval_java_to_cpp.jsonl,0.256098,,
go,/workspace/codegeex/benchmark/humaneval-x/java/grpo_0116/humaneval_java_to_go.jsonl,0.268293,,
js,/workspace/codegeex/benchmark/humaneval-x/java/grpo_0116/humaneval_java_to_js.jsonl,0.457317,,
python,/workspace/codegeex/benchmark/humaneval-x/java/grpo_0116/humaneval_java_to_python.jsonl,0.530488,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/grpo_0116/humaneval_java_to_rust.jsonl,0.365854,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/grpo_0116/humaneval_js_to_cpp.jsonl,0.378049,,
go,/workspace/codegeex/benchmark/humaneval-x/js/grpo_0116/humaneval_js_to_go.jsonl,0.365854,,
java,/workspace/codegeex/benchmark/humaneval-x/js/grpo_0116/humaneval_js_to_java.jsonl,0.432927,,
python,/workspace/codegeex/benchmark/humaneval-x/js/grpo_0116/humaneval_js_to_python.jsonl,0.567073,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/grpo_0116/humaneval_js_to_rust.jsonl,0.323171,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/grpo_0116/humaneval_python_to_cpp.jsonl,0.292683,,
go,/workspace/codegeex/benchmark/humaneval-x/python/grpo_0116/humaneval_python_to_go.jsonl,0.335366,,
java,/workspace/codegeex/benchmark/humaneval-x/python/grpo_0116/humaneval_python_to_java.jsonl,0.432927,,
js,/workspace/codegeex/benchmark/humaneval-x/python/grpo_0116/humaneval_python_to_js.jsonl,0.493902,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/grpo_0116/humaneval_python_to_rust.jsonl,0.396341,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/grpo_0116/humaneval_rust_to_cpp.jsonl,0.280488,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/grpo_0116/humaneval_rust_to_go.jsonl,0.286585,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/grpo_0116/humaneval_rust_to_java.jsonl,0.445122,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/grpo_0116/humaneval_rust_to_js.jsonl,0.323171,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/grpo_0116/humaneval_rust_to_python.jsonl,0.512195,,
