language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/grpo_0123_md/humaneval_cpp_to_go.jsonl,0.298780,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/grpo_0123_md/humaneval_cpp_to_java.jsonl,0.402439,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/grpo_0123_md/humaneval_cpp_to_js.jsonl,0.445122,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/grpo_0123_md/humaneval_cpp_to_python.jsonl,0.329268,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/grpo_0123_md/humaneval_cpp_to_rust.jsonl,0.341463,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/grpo_0123_md/humaneval_go_to_cpp.jsonl,0.335366,,
java,/workspace/codegeex/benchmark/humaneval-x/go/grpo_0123_md/humaneval_go_to_java.jsonl,0.402439,,
js,/workspace/codegeex/benchmark/humaneval-x/go/grpo_0123_md/humaneval_go_to_js.jsonl,0.548780,,
python,/workspace/codegeex/benchmark/humaneval-x/go/grpo_0123_md/humaneval_go_to_python.jsonl,0.554878,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/grpo_0123_md/humaneval_go_to_rust.jsonl,0.396341,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/grpo_0123_md/humaneval_java_to_cpp.jsonl,0.298780,,
go,/workspace/codegeex/benchmark/humaneval-x/java/grpo_0123_md/humaneval_java_to_go.jsonl,0.317073,,
js,/workspace/codegeex/benchmark/humaneval-x/java/grpo_0123_md/humaneval_java_to_js.jsonl,0.530488,,
python,/workspace/codegeex/benchmark/humaneval-x/java/grpo_0123_md/humaneval_java_to_python.jsonl,0.500000,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/grpo_0123_md/humaneval_java_to_rust.jsonl,0.390244,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/grpo_0123_md/humaneval_js_to_cpp.jsonl,0.347561,,
go,/workspace/codegeex/benchmark/humaneval-x/js/grpo_0123_md/humaneval_js_to_go.jsonl,0.396341,,
java,/workspace/codegeex/benchmark/humaneval-x/js/grpo_0123_md/humaneval_js_to_java.jsonl,0.439024,,
python,/workspace/codegeex/benchmark/humaneval-x/js/grpo_0123_md/humaneval_js_to_python.jsonl,0.542683,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/grpo_0123_md/humaneval_js_to_rust.jsonl,0.384146,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/grpo_0123_md/humaneval_python_to_cpp.jsonl,0.274390,,
go,/workspace/codegeex/benchmark/humaneval-x/python/grpo_0123_md/humaneval_python_to_go.jsonl,0.341463,,
java,/workspace/codegeex/benchmark/humaneval-x/python/grpo_0123_md/humaneval_python_to_java.jsonl,0.500000,,
js,/workspace/codegeex/benchmark/humaneval-x/python/grpo_0123_md/humaneval_python_to_js.jsonl,0.518293,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/grpo_0123_md/humaneval_python_to_rust.jsonl,0.347561,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/grpo_0123_md/humaneval_rust_to_cpp.jsonl,0.298780,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/grpo_0123_md/humaneval_rust_to_go.jsonl,0.329268,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/grpo_0123_md/humaneval_rust_to_java.jsonl,0.469512,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/grpo_0123_md/humaneval_rust_to_js.jsonl,0.378049,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/grpo_0123_md/humaneval_rust_to_python.jsonl,0.500000,,
