language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_grpo_reward80b/humaneval_cpp_to_go.jsonl,0.115854,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_grpo_reward80b/humaneval_cpp_to_java.jsonl,0.463415,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_grpo_reward80b/humaneval_cpp_to_js.jsonl,0.414634,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_grpo_reward80b/humaneval_cpp_to_python.jsonl,0.353659,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_grpo_reward80b/humaneval_cpp_to_rust.jsonl,0.298780,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_grpo_reward80b/humaneval_go_to_cpp.jsonl,0.335366,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_grpo_reward80b/humaneval_go_to_java.jsonl,0.420732,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_grpo_reward80b/humaneval_go_to_js.jsonl,0.506098,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_grpo_reward80b/humaneval_go_to_python.jsonl,0.615854,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_grpo_reward80b/humaneval_go_to_rust.jsonl,0.280488,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_grpo_reward80b/humaneval_java_to_cpp.jsonl,0.310976,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_grpo_reward80b/humaneval_java_to_go.jsonl,0.256098,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_grpo_reward80b/humaneval_java_to_js.jsonl,0.451220,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_grpo_reward80b/humaneval_java_to_python.jsonl,0.609756,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_grpo_reward80b/humaneval_java_to_rust.jsonl,0.353659,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_grpo_reward80b/humaneval_js_to_cpp.jsonl,0.353659,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_grpo_reward80b/humaneval_js_to_go.jsonl,0.341463,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_grpo_reward80b/humaneval_js_to_java.jsonl,0.451220,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_grpo_reward80b/humaneval_js_to_python.jsonl,0.530488,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_grpo_reward80b/humaneval_js_to_rust.jsonl,0.262195,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_grpo_reward80b/humaneval_python_to_cpp.jsonl,0.298780,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_grpo_reward80b/humaneval_python_to_go.jsonl,0.213415,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_grpo_reward80b/humaneval_python_to_java.jsonl,0.371951,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_grpo_reward80b/humaneval_python_to_js.jsonl,0.481707,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_grpo_reward80b/humaneval_python_to_rust.jsonl,0.329268,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_grpo_reward80b/humaneval_rust_to_cpp.jsonl,0.347561,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_grpo_reward80b/humaneval_rust_to_go.jsonl,0.189024,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_grpo_reward80b/humaneval_rust_to_java.jsonl,0.493902,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_grpo_reward80b/humaneval_rust_to_js.jsonl,0.420732,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_grpo_reward80b/humaneval_rust_to_python.jsonl,0.518293,,
