language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_seed_0911_base/humaneval_cpp_to_go.jsonl,0.310976,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_seed_0911_base/humaneval_cpp_to_java.jsonl,0.457317,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_seed_0911_base/humaneval_cpp_to_js.jsonl,0.493902,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_seed_0911_base/humaneval_cpp_to_python.jsonl,0.506098,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_seed_0911_base/humaneval_cpp_to_rust.jsonl,0.250000,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_seed_0911_base/humaneval_go_to_cpp.jsonl,0.432927,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_seed_0911_base/humaneval_go_to_java.jsonl,0.481707,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_seed_0911_base/humaneval_go_to_js.jsonl,0.640244,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_seed_0911_base/humaneval_go_to_python.jsonl,0.536585,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_seed_0911_base/humaneval_go_to_rust.jsonl,0.292683,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_seed_0911_base/humaneval_java_to_cpp.jsonl,0.518293,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_seed_0911_base/humaneval_java_to_go.jsonl,0.371951,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_seed_0911_base/humaneval_java_to_js.jsonl,0.707317,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_seed_0911_base/humaneval_java_to_python.jsonl,0.579268,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_seed_0911_base/humaneval_java_to_rust.jsonl,0.146341,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_seed_0911_base/humaneval_js_to_cpp.jsonl,0.414634,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_seed_0911_base/humaneval_js_to_go.jsonl,0.390244,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_seed_0911_base/humaneval_js_to_java.jsonl,0.487805,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_seed_0911_base/humaneval_js_to_python.jsonl,0.585366,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_seed_0911_base/humaneval_js_to_rust.jsonl,0.219512,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_seed_0911_base/humaneval_python_to_cpp.jsonl,0.439024,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_seed_0911_base/humaneval_python_to_go.jsonl,0.445122,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_seed_0911_base/humaneval_python_to_java.jsonl,0.548780,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_seed_0911_base/humaneval_python_to_js.jsonl,0.646341,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_seed_0911_base/humaneval_python_to_rust.jsonl,0.408537,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_seed_0911_base/humaneval_rust_to_cpp.jsonl,0.390244,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_seed_0911_base/humaneval_rust_to_go.jsonl,0.317073,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_seed_0911_base/humaneval_rust_to_java.jsonl,0.493902,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_seed_0911_base/humaneval_rust_to_js.jsonl,0.542683,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_seed_0911_base/humaneval_rust_to_python.jsonl,0.408537,,
