language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_seed_base/humaneval_cpp_to_go.jsonl,0.737805,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_seed_base/humaneval_cpp_to_java.jsonl,0.914634,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_seed_base/humaneval_cpp_to_js.jsonl,0.871951,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_seed_base/humaneval_cpp_to_python.jsonl,0.859756,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_seed_base/humaneval_cpp_to_rust.jsonl,0.201220,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_seed_base/humaneval_go_to_cpp.jsonl,0.750000,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_seed_base/humaneval_go_to_java.jsonl,0.841463,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_seed_base/humaneval_go_to_js.jsonl,0.939024,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_seed_base/humaneval_go_to_python.jsonl,0.920732,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_seed_base/humaneval_go_to_rust.jsonl,0.250000,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_seed_base/humaneval_java_to_cpp.jsonl,0.804878,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_seed_base/humaneval_java_to_go.jsonl,0.737805,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_seed_base/humaneval_java_to_js.jsonl,0.890244,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_seed_base/humaneval_java_to_python.jsonl,0.890244,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_seed_base/humaneval_java_to_rust.jsonl,0.548780,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_seed_base/humaneval_js_to_cpp.jsonl,0.792683,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_seed_base/humaneval_js_to_go.jsonl,0.756098,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_seed_base/humaneval_js_to_java.jsonl,0.871951,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_seed_base/humaneval_js_to_python.jsonl,0.902439,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_seed_base/humaneval_js_to_rust.jsonl,0.506098,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_seed_base/humaneval_python_to_cpp.jsonl,0.768293,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_seed_base/humaneval_python_to_go.jsonl,0.707317,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_seed_base/humaneval_python_to_java.jsonl,0.786585,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_seed_base/humaneval_python_to_js.jsonl,0.902439,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_seed_base/humaneval_python_to_rust.jsonl,0.536585,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_seed_base/humaneval_rust_to_cpp.jsonl,0.847561,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_seed_base/humaneval_rust_to_go.jsonl,0.725610,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_seed_base/humaneval_rust_to_java.jsonl,0.871951,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_seed_base/humaneval_rust_to_js.jsonl,0.835366,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_seed_base/humaneval_rust_to_python.jsonl,0.829268,,
