language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_seed_base2/humaneval_cpp_to_go.jsonl,0.743902,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_seed_base2/humaneval_cpp_to_java.jsonl,0.920732,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_seed_base2/humaneval_cpp_to_js.jsonl,0.884146,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_seed_base2/humaneval_cpp_to_python.jsonl,0.871951,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_seed_base2/humaneval_cpp_to_rust.jsonl,0.664634,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_seed_base2/humaneval_go_to_cpp.jsonl,0.780488,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_seed_base2/humaneval_go_to_java.jsonl,0.829268,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_seed_base2/humaneval_go_to_js.jsonl,0.957317,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_seed_base2/humaneval_go_to_python.jsonl,0.939024,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_seed_base2/humaneval_go_to_rust.jsonl,0.609756,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_seed_base2/humaneval_java_to_cpp.jsonl,0.829268,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_seed_base2/humaneval_java_to_go.jsonl,0.695122,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_seed_base2/humaneval_java_to_js.jsonl,0.914634,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_seed_base2/humaneval_java_to_python.jsonl,0.896341,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_seed_base2/humaneval_java_to_rust.jsonl,0.628049,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_seed_base2/humaneval_js_to_cpp.jsonl,0.798780,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_seed_base2/humaneval_js_to_go.jsonl,0.756098,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_seed_base2/humaneval_js_to_java.jsonl,0.878049,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_seed_base2/humaneval_js_to_python.jsonl,0.896341,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_seed_base2/humaneval_js_to_rust.jsonl,0.591463,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_seed_base2/humaneval_python_to_cpp.jsonl,0.707317,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_seed_base2/humaneval_python_to_go.jsonl,0.713415,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_seed_base2/humaneval_python_to_java.jsonl,0.798780,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_seed_base2/humaneval_python_to_js.jsonl,0.908537,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_seed_base2/humaneval_python_to_rust.jsonl,0.609756,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_seed_base2/humaneval_rust_to_cpp.jsonl,0.859756,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_seed_base2/humaneval_rust_to_go.jsonl,0.689024,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_seed_base2/humaneval_rust_to_java.jsonl,0.865854,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_seed_base2/humaneval_rust_to_js.jsonl,0.835366,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_seed_base2/humaneval_rust_to_python.jsonl,0.835366,,
