language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0911_base_1616/humaneval_cpp_to_go.jsonl,0.432927,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0911_base_1616/humaneval_cpp_to_java.jsonl,0.536585,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0911_base_1616/humaneval_cpp_to_js.jsonl,0.597561,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0911_base_1616/humaneval_cpp_to_python.jsonl,0.536585,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation0911_base_1616/humaneval_cpp_to_rust.jsonl,0.280488,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0911_base_1616/humaneval_go_to_cpp.jsonl,0.506098,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0911_base_1616/humaneval_go_to_java.jsonl,0.536585,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0911_base_1616/humaneval_go_to_js.jsonl,0.591463,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0911_base_1616/humaneval_go_to_python.jsonl,0.579268,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation0911_base_1616/humaneval_go_to_rust.jsonl,0.250000,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0911_base_1616/humaneval_java_to_cpp.jsonl,0.530488,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0911_base_1616/humaneval_java_to_go.jsonl,0.426829,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0911_base_1616/humaneval_java_to_js.jsonl,0.658537,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0911_base_1616/humaneval_java_to_python.jsonl,0.591463,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation0911_base_1616/humaneval_java_to_rust.jsonl,0.341463,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0911_base_1616/humaneval_js_to_cpp.jsonl,0.560976,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0911_base_1616/humaneval_js_to_go.jsonl,0.493902,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0911_base_1616/humaneval_js_to_java.jsonl,0.597561,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0911_base_1616/humaneval_js_to_python.jsonl,0.512195,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation0911_base_1616/humaneval_js_to_rust.jsonl,0.347561,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0911_base_1616/humaneval_python_to_cpp.jsonl,0.585366,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0911_base_1616/humaneval_python_to_go.jsonl,0.475610,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0911_base_1616/humaneval_python_to_java.jsonl,0.658537,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0911_base_1616/humaneval_python_to_js.jsonl,0.658537,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation0911_base_1616/humaneval_python_to_rust.jsonl,0.317073,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0911_base_1616/humaneval_rust_to_cpp.jsonl,0.500000,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0911_base_1616/humaneval_rust_to_go.jsonl,0.432927,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0911_base_1616/humaneval_rust_to_java.jsonl,0.573171,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0911_base_1616/humaneval_rust_to_js.jsonl,0.536585,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation0911_base_1616/humaneval_rust_to_python.jsonl,0.567073,,
