language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_2.5_0911_base/humaneval_cpp_to_go.jsonl,0.060976,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_2.5_0911_base/humaneval_cpp_to_java.jsonl,0.097561,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_2.5_0911_base/humaneval_cpp_to_js.jsonl,0.134146,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_2.5_0911_base/humaneval_cpp_to_python.jsonl,0.207317,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_2.5_0911_base/humaneval_cpp_to_rust.jsonl,0.097561,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_2.5_0911_base/humaneval_go_to_cpp.jsonl,0.067073,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_2.5_0911_base/humaneval_go_to_java.jsonl,0.201220,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_2.5_0911_base/humaneval_go_to_js.jsonl,0.262195,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_2.5_0911_base/humaneval_go_to_python.jsonl,0.262195,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_2.5_0911_base/humaneval_go_to_rust.jsonl,0.152439,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_2.5_0911_base/humaneval_java_to_cpp.jsonl,0.109756,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_2.5_0911_base/humaneval_java_to_go.jsonl,0.164634,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_2.5_0911_base/humaneval_java_to_js.jsonl,0.207317,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_2.5_0911_base/humaneval_java_to_python.jsonl,0.323171,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_2.5_0911_base/humaneval_java_to_rust.jsonl,0.182927,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_2.5_0911_base/humaneval_js_to_cpp.jsonl,0.097561,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_2.5_0911_base/humaneval_js_to_go.jsonl,0.164634,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_2.5_0911_base/humaneval_js_to_java.jsonl,0.262195,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_2.5_0911_base/humaneval_js_to_python.jsonl,0.262195,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_2.5_0911_base/humaneval_js_to_rust.jsonl,0.182927,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_2.5_0911_base/humaneval_python_to_cpp.jsonl,0.079268,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_2.5_0911_base/humaneval_python_to_go.jsonl,0.189024,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_2.5_0911_base/humaneval_python_to_java.jsonl,0.317073,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_2.5_0911_base/humaneval_python_to_js.jsonl,0.323171,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_2.5_0911_base/humaneval_python_to_rust.jsonl,0.237805,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_2.5_0911_base/humaneval_rust_to_cpp.jsonl,0.146341,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_2.5_0911_base/humaneval_rust_to_go.jsonl,0.109756,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_2.5_0911_base/humaneval_rust_to_java.jsonl,0.225610,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_2.5_0911_base/humaneval_rust_to_js.jsonl,0.146341,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_2.5_0911_base/humaneval_rust_to_python.jsonl,0.225610,,
