language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_base/humaneval_cpp_to_go.jsonl,0.774390,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_base/humaneval_cpp_to_java.jsonl,0.908537,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_base/humaneval_cpp_to_js.jsonl,0.853659,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_base/humaneval_cpp_to_python.jsonl,0.835366,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_base/humaneval_cpp_to_rust.jsonl,0.487805,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_base/humaneval_go_to_cpp.jsonl,0.847561,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_base/humaneval_go_to_java.jsonl,0.920732,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_base/humaneval_go_to_js.jsonl,0.939024,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_base/humaneval_go_to_python.jsonl,0.939024,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_base/humaneval_go_to_rust.jsonl,0.579268,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_base/humaneval_java_to_cpp.jsonl,0.896341,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_base/humaneval_java_to_go.jsonl,0.780488,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_base/humaneval_java_to_js.jsonl,0.920732,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_base/humaneval_java_to_python.jsonl,0.932927,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_base/humaneval_java_to_rust.jsonl,0.573171,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_base/humaneval_js_to_cpp.jsonl,0.865854,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_base/humaneval_js_to_go.jsonl,0.823171,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_base/humaneval_js_to_java.jsonl,0.932927,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_base/humaneval_js_to_python.jsonl,0.890244,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_base/humaneval_js_to_rust.jsonl,0.426829,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_base/humaneval_python_to_cpp.jsonl,0.871951,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_base/humaneval_python_to_go.jsonl,0.768293,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_base/humaneval_python_to_java.jsonl,0.884146,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_base/humaneval_python_to_js.jsonl,0.902439,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_base/humaneval_python_to_rust.jsonl,0.250000,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_base/humaneval_rust_to_cpp.jsonl,0.932927,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_base/humaneval_rust_to_go.jsonl,0.707317,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_base/humaneval_rust_to_java.jsonl,0.890244,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_base/humaneval_rust_to_js.jsonl,0.810976,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_base/humaneval_rust_to_python.jsonl,0.847561,,
