language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/dapo_0116/humaneval_cpp_to_go.jsonl,0.310976,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/dapo_0116/humaneval_cpp_to_java.jsonl,0.402439,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/dapo_0116/humaneval_cpp_to_js.jsonl,0.451220,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/dapo_0116/humaneval_cpp_to_python.jsonl,0.365854,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/dapo_0116/humaneval_cpp_to_rust.jsonl,0.213415,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/dapo_0116/humaneval_go_to_cpp.jsonl,0.286585,,
java,/workspace/codegeex/benchmark/humaneval-x/go/dapo_0116/humaneval_go_to_java.jsonl,0.408537,,
js,/workspace/codegeex/benchmark/humaneval-x/go/dapo_0116/humaneval_go_to_js.jsonl,0.487805,,
python,/workspace/codegeex/benchmark/humaneval-x/go/dapo_0116/humaneval_go_to_python.jsonl,0.554878,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/dapo_0116/humaneval_go_to_rust.jsonl,0.341463,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/dapo_0116/humaneval_java_to_cpp.jsonl,0.280488,,
go,/workspace/codegeex/benchmark/humaneval-x/java/dapo_0116/humaneval_java_to_go.jsonl,0.274390,,
js,/workspace/codegeex/benchmark/humaneval-x/java/dapo_0116/humaneval_java_to_js.jsonl,0.457317,,
python,/workspace/codegeex/benchmark/humaneval-x/java/dapo_0116/humaneval_java_to_python.jsonl,0.530488,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/dapo_0116/humaneval_java_to_rust.jsonl,0.365854,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/dapo_0116/humaneval_js_to_cpp.jsonl,0.353659,,
go,/workspace/codegeex/benchmark/humaneval-x/js/dapo_0116/humaneval_js_to_go.jsonl,0.347561,,
java,/workspace/codegeex/benchmark/humaneval-x/js/dapo_0116/humaneval_js_to_java.jsonl,0.469512,,
python,/workspace/codegeex/benchmark/humaneval-x/js/dapo_0116/humaneval_js_to_python.jsonl,0.591463,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/dapo_0116/humaneval_js_to_rust.jsonl,0.365854,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/dapo_0116/humaneval_python_to_cpp.jsonl,0.274390,,
go,/workspace/codegeex/benchmark/humaneval-x/python/dapo_0116/humaneval_python_to_go.jsonl,0.341463,,
java,/workspace/codegeex/benchmark/humaneval-x/python/dapo_0116/humaneval_python_to_java.jsonl,0.402439,,
js,/workspace/codegeex/benchmark/humaneval-x/python/dapo_0116/humaneval_python_to_js.jsonl,0.475610,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/dapo_0116/humaneval_python_to_rust.jsonl,0.378049,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/dapo_0116/humaneval_rust_to_cpp.jsonl,0.317073,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/dapo_0116/humaneval_rust_to_go.jsonl,0.268293,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/dapo_0116/humaneval_rust_to_java.jsonl,0.390244,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/dapo_0116/humaneval_rust_to_js.jsonl,0.317073,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/dapo_0116/humaneval_rust_to_python.jsonl,0.457317,,
