language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/drgrpo_0116/humaneval_cpp_to_go.jsonl,0.250000,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/drgrpo_0116/humaneval_cpp_to_java.jsonl,0.335366,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/drgrpo_0116/humaneval_cpp_to_js.jsonl,0.390244,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/drgrpo_0116/humaneval_cpp_to_python.jsonl,0.371951,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/drgrpo_0116/humaneval_cpp_to_rust.jsonl,0.231707,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/drgrpo_0116/humaneval_go_to_cpp.jsonl,0.286585,,
java,/workspace/codegeex/benchmark/humaneval-x/go/drgrpo_0116/humaneval_go_to_java.jsonl,0.359756,,
js,/workspace/codegeex/benchmark/humaneval-x/go/drgrpo_0116/humaneval_go_to_js.jsonl,0.445122,,
python,/workspace/codegeex/benchmark/humaneval-x/go/drgrpo_0116/humaneval_go_to_python.jsonl,0.548780,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/drgrpo_0116/humaneval_go_to_rust.jsonl,0.317073,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/drgrpo_0116/humaneval_java_to_cpp.jsonl,0.243902,,
go,/workspace/codegeex/benchmark/humaneval-x/java/drgrpo_0116/humaneval_java_to_go.jsonl,0.304878,,
js,/workspace/codegeex/benchmark/humaneval-x/java/drgrpo_0116/humaneval_java_to_js.jsonl,0.439024,,
python,/workspace/codegeex/benchmark/humaneval-x/java/drgrpo_0116/humaneval_java_to_python.jsonl,0.506098,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/drgrpo_0116/humaneval_java_to_rust.jsonl,0.365854,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/drgrpo_0116/humaneval_js_to_cpp.jsonl,0.335366,,
go,/workspace/codegeex/benchmark/humaneval-x/js/drgrpo_0116/humaneval_js_to_go.jsonl,0.347561,,
java,/workspace/codegeex/benchmark/humaneval-x/js/drgrpo_0116/humaneval_js_to_java.jsonl,0.451220,,
python,/workspace/codegeex/benchmark/humaneval-x/js/drgrpo_0116/humaneval_js_to_python.jsonl,0.554878,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/drgrpo_0116/humaneval_js_to_rust.jsonl,0.359756,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/drgrpo_0116/humaneval_python_to_cpp.jsonl,0.268293,,
go,/workspace/codegeex/benchmark/humaneval-x/python/drgrpo_0116/humaneval_python_to_go.jsonl,0.359756,,
java,/workspace/codegeex/benchmark/humaneval-x/python/drgrpo_0116/humaneval_python_to_java.jsonl,0.396341,,
js,/workspace/codegeex/benchmark/humaneval-x/python/drgrpo_0116/humaneval_python_to_js.jsonl,0.512195,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/drgrpo_0116/humaneval_python_to_rust.jsonl,0.365854,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/drgrpo_0116/humaneval_rust_to_cpp.jsonl,0.280488,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/drgrpo_0116/humaneval_rust_to_go.jsonl,0.286585,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/drgrpo_0116/humaneval_rust_to_java.jsonl,0.396341,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/drgrpo_0116/humaneval_rust_to_js.jsonl,0.286585,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/drgrpo_0116/humaneval_rust_to_python.jsonl,0.493902,,
