language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/grpo_0123_code/humaneval_cpp_to_go.jsonl,0.250000,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/grpo_0123_code/humaneval_cpp_to_java.jsonl,0.420732,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/grpo_0123_code/humaneval_cpp_to_js.jsonl,0.439024,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/grpo_0123_code/humaneval_cpp_to_python.jsonl,0.335366,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/grpo_0123_code/humaneval_cpp_to_rust.jsonl,0.286585,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/grpo_0123_code/humaneval_go_to_cpp.jsonl,0.286585,,
java,/workspace/codegeex/benchmark/humaneval-x/go/grpo_0123_code/humaneval_go_to_java.jsonl,0.335366,,
js,/workspace/codegeex/benchmark/humaneval-x/go/grpo_0123_code/humaneval_go_to_js.jsonl,0.506098,,
python,/workspace/codegeex/benchmark/humaneval-x/go/grpo_0123_code/humaneval_go_to_python.jsonl,0.585366,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/grpo_0123_code/humaneval_go_to_rust.jsonl,0.365854,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/grpo_0123_code/humaneval_java_to_cpp.jsonl,0.274390,,
go,/workspace/codegeex/benchmark/humaneval-x/java/grpo_0123_code/humaneval_java_to_go.jsonl,0.304878,,
js,/workspace/codegeex/benchmark/humaneval-x/java/grpo_0123_code/humaneval_java_to_js.jsonl,0.506098,,
python,/workspace/codegeex/benchmark/humaneval-x/java/grpo_0123_code/humaneval_java_to_python.jsonl,0.560976,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/grpo_0123_code/humaneval_java_to_rust.jsonl,0.414634,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/grpo_0123_code/humaneval_js_to_cpp.jsonl,0.335366,,
go,/workspace/codegeex/benchmark/humaneval-x/js/grpo_0123_code/humaneval_js_to_go.jsonl,0.359756,,
java,/workspace/codegeex/benchmark/humaneval-x/js/grpo_0123_code/humaneval_js_to_java.jsonl,0.487805,,
python,/workspace/codegeex/benchmark/humaneval-x/js/grpo_0123_code/humaneval_js_to_python.jsonl,0.542683,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/grpo_0123_code/humaneval_js_to_rust.jsonl,0.371951,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/grpo_0123_code/humaneval_python_to_cpp.jsonl,0.298780,,
go,/workspace/codegeex/benchmark/humaneval-x/python/grpo_0123_code/humaneval_python_to_go.jsonl,0.298780,,
java,/workspace/codegeex/benchmark/humaneval-x/python/grpo_0123_code/humaneval_python_to_java.jsonl,0.463415,,
js,/workspace/codegeex/benchmark/humaneval-x/python/grpo_0123_code/humaneval_python_to_js.jsonl,0.512195,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/grpo_0123_code/humaneval_python_to_rust.jsonl,0.390244,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/grpo_0123_code/humaneval_rust_to_cpp.jsonl,0.317073,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/grpo_0123_code/humaneval_rust_to_go.jsonl,0.341463,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/grpo_0123_code/humaneval_rust_to_java.jsonl,0.451220,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/grpo_0123_code/humaneval_rust_to_js.jsonl,0.359756,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/grpo_0123_code/humaneval_rust_to_python.jsonl,0.487805,,
