evaluation,source_language,language,pass@1,pass@1_se,pass@5,pass@5_se
qwen2.5,cpp,go,0.263415,0.020113,0.463415,0.000000
qwen2.5,cpp,java,0.392683,0.023139,0.597561,0.000000
qwen2.5,cpp,js,0.392683,0.023267,0.621951,0.000000
qwen2.5,cpp,python,0.450000,0.020768,0.634146,0.000000
qwen2.5,cpp,rust,0.280488,0.022619,0.524390,0.000000
qwen2.5,go,cpp,0.267073,0.021951,0.487805,0.000000
qwen2.5,go,java,0.414634,0.021610,0.585366,0.000000
qwen2.5,go,js,0.491463,0.022019,0.713415,0.000000
qwen2.5,go,python,0.603659,0.016810,0.731707,0.000000
qwen2.5,go,rust,0.296341,0.022684,0.530488,0.000000
qwen2.5,java,cpp,0.263415,0.019890,0.445122,0.000000
qwen2.5,java,go,0.312195,0.018814,0.469512,0.000000
qwen2.5,java,js,0.495122,0.020333,0.682927,0.000000
qwen2.5,java,python,0.600000,0.018655,0.743902,0.000000
qwen2.5,java,rust,0.337805,0.023010,0.554878,0.000000
qwen2.5,js,cpp,0.328049,0.022354,0.560976,0.000000
qwen2.5,js,go,0.387805,0.020981,0.567073,0.000000
qwen2.5,js,java,0.468293,0.021541,0.664634,0.000000
qwen2.5,js,python,0.610976,0.019359,0.768293,0.000000
qwen2.5,js,rust,0.337805,0.022287,0.548780,0.000000
qwen2.5,python,cpp,0.247561,0.019740,0.420732,0.000000
qwen2.5,python,go,0.350000,0.015329,0.451220,0.000000
qwen2.5,python,java,0.457317,0.020187,0.628049,0.000000
qwen2.5,python,js,0.542683,0.022154,0.743902,0.000000
qwen2.5,python,rust,0.353659,0.022019,0.567073,0.000000
qwen2.5,rust,cpp,0.286585,0.022287,0.530488,0.000000
qwen2.5,rust,go,0.326829,0.017333,0.463415,0.000000
qwen2.5,rust,java,0.437805,0.022420,0.640244,0.000000
qwen2.5,rust,js,0.341463,0.020187,0.530488,0.000000
qwen2.5,rust,python,0.529268,0.019205,0.682927,0.000000
qwen2.5,ALL,total,0.395569,0.003809,0.585163,0.000000
qwen2.5_grpo_reward30b,cpp,go,0.240244,0.013905,0.317073,0.000000
qwen2.5_grpo_reward30b,cpp,java,0.436585,0.017923,0.567073,0.000000
qwen2.5_grpo_reward30b,cpp,js,0.465854,0.016086,0.567073,0.000000
qwen2.5_grpo_reward30b,cpp,python,0.482927,0.013689,0.567073,0.000000
qwen2.5_grpo_reward30b,cpp,rust,0.329268,0.019436,0.475610,0.000000
qwen2.5_grpo_reward30b,go,cpp,0.300000,0.018971,0.469512,0.000000
qwen2.5_grpo_reward30b,go,java,0.452439,0.013580,0.518293,0.000000
qwen2.5_grpo_reward30b,go,js,0.534146,0.017073,0.676829,0.000000
qwen2.5_grpo_reward30b,go,python,0.619512,0.012674,0.682927,0.000000
qwen2.5_grpo_reward30b,go,rust,0.318293,0.023139,0.518293,0.000000
qwen2.5_grpo_reward30b,java,cpp,0.276829,0.018414,0.439024,0.000000
qwen2.5_grpo_reward30b,java,go,0.324390,0.015807,0.426829,0.000000
qwen2.5_grpo_reward30b,java,js,0.475610,0.015522,0.597561,0.000000
qwen2.5_grpo_reward30b,java,python,0.642683,0.014326,0.719512,0.000000
qwen2.5_grpo_reward30b,java,rust,0.350000,0.023960,0.554878,0.000000
qwen2.5_grpo_reward30b,js,cpp,0.339024,0.020113,0.512195,0.000000
qwen2.5_grpo_reward30b,js,go,0.451220,0.012195,0.518293,0.000000
qwen2.5_grpo_reward30b,js,java,0.489024,0.013797,0.567073,0.000000
qwen2.5_grpo_reward30b,js,python,0.671951,0.014117,0.743902,0.000000
qwen2.5_grpo_reward30b,js,rust,0.364634,0.021123,0.524390,0.000000
qwen2.5_grpo_reward30b,python,cpp,0.273171,0.016810,0.402439,0.000000
qwen2.5_grpo_reward30b,python,go,0.339024,0.014117,0.426829,0.000000
qwen2.5_grpo_reward30b,python,java,0.485366,0.014117,0.573171,0.000000
qwen2.5_grpo_reward30b,python,js,0.542683,0.012674,0.615854,0.000000
qwen2.5_grpo_reward30b,python,rust,0.378049,0.024633,0.597561,0.000000
qwen2.5_grpo_reward30b,rust,cpp,0.360976,0.020260,0.530488,0.000000
qwen2.5_grpo_reward30b,rust,go,0.353659,0.014532,0.445122,0.000000
qwen2.5_grpo_reward30b,rust,java,0.454878,0.015807,0.554878,0.000000
qwen2.5_grpo_reward30b,rust,js,0.440244,0.016810,0.554878,0.000000
qwen2.5_grpo_reward30b,rust,python,0.550000,0.013470,0.628049,0.000000
qwen2.5_grpo_reward30b,ALL,total,0.424756,0.003101,0.543089,0.000000
qwen2.5_grpo_reward30b_v2_100,cpp,go,0.284146,0.015900,0.390244,0.000000
qwen2.5_grpo_reward30b_v2_100,cpp,java,0.393902,0.017418,0.536585,0.000000
qwen2.5_grpo_reward30b_v2_100,cpp,js,0.471951,0.016810,0.597561,0.000000
qwen2.5_grpo_reward30b_v2_100,cpp,python,0.452439,0.014836,0.548780,0.000000
qwen2.5_grpo_reward30b_v2_100,cpp,rust,0.335366,0.018333,0.475610,0.000000
qwen2.5_grpo_reward30b_v2_100,go,cpp,0.282927,0.016721,0.408537,0.000000
qwen2.5_grpo_reward30b_v2_100,go,java,0.448780,0.014429,0.542683,0.000000
qwen2.5_grpo_reward30b_v2_100,go,js,0.500000,0.016810,0.621951,0.000000
qwen2.5_grpo_reward30b_v2_100,go,python,0.597561,0.012437,0.658537,0.000000
qwen2.5_grpo_reward30b_v2_100,go,rust,0.381707,0.017160,0.500000,0.000000
qwen2.5_grpo_reward30b_v2_100,java,cpp,0.247561,0.016542,0.378049,0.000000
qwen2.5_grpo_reward30b_v2_100,java,go,0.335366,0.015134,0.432927,0.000000
qwen2.5_grpo_reward30b_v2_100,java,js,0.470732,0.015807,0.573171,0.000000
qwen2.5_grpo_reward30b_v2_100,java,python,0.634146,0.014326,0.725610,0.000000
qwen2.5_grpo_reward30b_v2_100,java,rust,0.342683,0.024145,0.554878,0.000000
qwen2.5_grpo_reward30b_v2_100,js,cpp,0.328049,0.017756,0.475610,0.000000
qwen2.5_grpo_reward30b_v2_100,js,go,0.418293,0.015134,0.512195,0.000000
qwen2.5_grpo_reward30b_v2_100,js,java,0.473171,0.016986,0.597561,0.000000
qwen2.5_grpo_reward30b_v2_100,js,python,0.670732,0.011697,0.725610,0.000000
qwen2.5_grpo_reward30b_v2_100,js,rust,0.356098,0.021815,0.542683,0.000000
qwen2.5_grpo_reward30b_v2_100,python,cpp,0.258537,0.017503,0.390244,0.000000
qwen2.5_grpo_reward30b_v2_100,python,go,0.310976,0.013580,0.390244,0.000000
qwen2.5_grpo_reward30b_v2_100,python,java,0.490244,0.015232,0.591463,0.000000
qwen2.5_grpo_reward30b_v2_100,python,js,0.539024,0.013021,0.615854,0.000000
qwen2.5_grpo_reward30b_v2_100,python,rust,0.374390,0.023835,0.597561,0.000000
qwen2.5_grpo_reward30b_v2_100,rust,cpp,0.300000,0.018735,0.451220,0.000000
qwen2.5_grpo_reward30b_v2_100,rust,go,0.325610,0.015329,0.432927,0.000000
qwen2.5_grpo_reward30b_v2_100,rust,java,0.460976,0.015900,0.579268,0.000000
qwen2.5_grpo_reward30b_v2_100,rust,js,0.435366,0.016270,0.554878,0.000000
qwen2.5_grpo_reward30b_v2_100,rust,python,0.539024,0.014326,0.615854,0.000000
qwen2.5_grpo_reward30b_v2_100,ALL,total,0.415325,0.003050,0.533943,0.000000
qwen2.5_grpo_reward30b_v2_194,cpp,go,0.276829,0.018170,0.426829,0.000000
qwen2.5_grpo_reward30b_v2_194,cpp,java,0.393902,0.017247,0.530488,0.000000
qwen2.5_grpo_reward30b_v2_194,cpp,js,0.475610,0.015232,0.573171,0.000000
qwen2.5_grpo_reward30b_v2_194,cpp,python,0.423171,0.015712,0.542683,0.000000
qwen2.5_grpo_reward30b_v2_194,cpp,rust,0.300000,0.019049,0.451220,0.000000
qwen2.5_grpo_reward30b_v2_194,go,cpp,0.287805,0.018495,0.463415,0.000000
qwen2.5_grpo_reward30b_v2_194,go,java,0.452439,0.015329,0.542683,0.000000
qwen2.5_grpo_reward30b_v2_194,go,js,0.510976,0.016179,0.615854,0.000000
qwen2.5_grpo_reward30b_v2_194,go,python,0.593902,0.014117,0.676829,0.000000
qwen2.5_grpo_reward30b_v2_194,go,rust,0.353659,0.019588,0.500000,0.000000
qwen2.5_grpo_reward30b_v2_194,java,cpp,0.260976,0.019512,0.451220,0.000000
qwen2.5_grpo_reward30b_v2_194,java,go,0.326829,0.017247,0.469512,0.000000
qwen2.5_grpo_reward30b_v2_194,java,js,0.421951,0.015994,0.530488,0.000000
qwen2.5_grpo_reward30b_v2_194,java,python,0.636585,0.013905,0.719512,0.000000
qwen2.5_grpo_reward30b_v2_194,java,rust,0.384146,0.022750,0.585366,0.000000
qwen2.5_grpo_reward30b_v2_194,js,cpp,0.308537,0.019664,0.500000,0.000000
qwen2.5_grpo_reward30b_v2_194,js,go,0.378049,0.015994,0.481707,0.000000
qwen2.5_grpo_reward30b_v2_194,js,java,0.482927,0.015522,0.579268,0.000000
qwen2.5_grpo_reward30b_v2_194,js,python,0.645122,0.012906,0.713415,0.000000
qwen2.5_grpo_reward30b_v2_194,js,rust,0.360976,0.024022,0.579268,0.000000
qwen2.5_grpo_reward30b_v2_194,python,cpp,0.246341,0.019964,0.439024,0.000000
qwen2.5_grpo_reward30b_v2_194,python,go,0.298780,0.015035,0.396341,0.000000
qwen2.5_grpo_reward30b_v2_194,python,java,0.468293,0.015134,0.573171,0.000000
qwen2.5_grpo_reward30b_v2_194,python,js,0.525610,0.014532,0.615854,0.000000
qwen2.5_grpo_reward30b_v2_194,python,rust,0.362195,0.024572,0.591463,0.000000
qwen2.5_grpo_reward30b_v2_194,rust,cpp,0.287805,0.020696,0.493902,0.000000
qwen2.5_grpo_reward30b_v2_194,rust,go,0.308537,0.016361,0.426829,0.000000
qwen2.5_grpo_reward30b_v2_194,rust,java,0.458537,0.017840,0.609756,0.000000
qwen2.5_grpo_reward30b_v2_194,rust,js,0.413415,0.015329,0.518293,0.000000
qwen2.5_grpo_reward30b_v2_194,rust,python,0.557317,0.017073,0.670732,0.000000
qwen2.5_grpo_reward30b_v2_194,ALL,total,0.406707,0.003227,0.542276,0.000000
qwen2.5_grpo_reward7b,cpp,go,0.254878,0.017333,0.396341,0.000000
qwen2.5_grpo_reward7b,cpp,java,0.385366,0.019664,0.567073,0.000000
qwen2.5_grpo_reward7b,cpp,js,0.423171,0.019205,0.579268,0.000000
qwen2.5_grpo_reward7b,cpp,python,0.459756,0.017588,0.573171,0.000000
qwen2.5_grpo_reward7b,cpp,rust,0.330488,0.022553,0.554878,0.000000
