language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_grpo_reward30b_v2_194/humaneval_cpp_to_go.jsonl,0.276829,0.008537,0.426829,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_grpo_reward30b_v2_194/humaneval_cpp_to_java.jsonl,0.393902,0.011177,0.530488,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_grpo_reward30b_v2_194/humaneval_cpp_to_js.jsonl,0.475610,0.006680,0.573171,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_grpo_reward30b_v2_194/humaneval_cpp_to_python.jsonl,0.423171,0.006844,0.542683,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_grpo_reward30b_v2_194/humaneval_cpp_to_rust.jsonl,0.300000,0.012703,0.451220,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_grpo_reward30b_v2_194/humaneval_go_to_cpp.jsonl,0.287805,0.010805,0.463415,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_grpo_reward30b_v2_194/humaneval_go_to_java.jsonl,0.452439,0.012992,0.542683,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_grpo_reward30b_v2_194/humaneval_go_to_js.jsonl,0.510976,0.006218,0.615854,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_grpo_reward30b_v2_194/humaneval_go_to_python.jsonl,0.593902,0.005655,0.676829,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_grpo_reward30b_v2_194/humaneval_go_to_rust.jsonl,0.353659,0.008623,0.500000,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_grpo_reward30b_v2_194/humaneval_java_to_cpp.jsonl,0.260976,0.014352,0.451220,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_grpo_reward30b_v2_194/humaneval_java_to_go.jsonl,0.326829,0.006844,0.469512,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_grpo_reward30b_v2_194/humaneval_java_to_js.jsonl,0.421951,0.005912,0.530488,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_grpo_reward30b_v2_194/humaneval_java_to_python.jsonl,0.636585,0.006567,0.719512,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_grpo_reward30b_v2_194/humaneval_java_to_rust.jsonl,0.384146,0.025362,0.585366,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_grpo_reward30b_v2_194/humaneval_js_to_cpp.jsonl,0.308537,0.008752,0.500000,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_grpo_reward30b_v2_194/humaneval_js_to_go.jsonl,0.378049,0.006952,0.481707,0.000000,,,,
