language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_dapo_0702_reward35b_nothink_100/humaneval_cpp_to_go.jsonl,0.719512,0.001928,0.792683,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_dapo_0702_reward35b_nothink_100/humaneval_cpp_to_java.jsonl,0.851220,0.006844,0.914634,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_dapo_0702_reward35b_nothink_100/humaneval_cpp_to_js.jsonl,0.859756,0.004723,0.890244,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_dapo_0702_reward35b_nothink_100/humaneval_cpp_to_python.jsonl,0.823171,0.005102,0.878049,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_dapo_0702_reward35b_nothink_100/humaneval_cpp_to_rust.jsonl,0.402439,0.023058,0.774390,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_dapo_0702_reward35b_nothink_100/humaneval_go_to_cpp.jsonl,0.703659,0.006278,0.835366,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_dapo_0702_reward35b_nothink_100/humaneval_go_to_java.jsonl,0.814634,0.011177,0.890244,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_dapo_0702_reward35b_nothink_100/humaneval_go_to_js.jsonl,0.889024,0.006790,0.957317,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_dapo_0702_reward35b_nothink_100/humaneval_go_to_python.jsonl,0.903659,0.002987,0.963415,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_dapo_0702_reward35b_nothink_100/humaneval_go_to_rust.jsonl,0.359756,0.011729,0.737805,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_dapo_0702_reward35b_nothink_100/humaneval_java_to_cpp.jsonl,0.728049,0.006278,0.865854,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_dapo_0702_reward35b_nothink_100/humaneval_java_to_go.jsonl,0.726829,0.005912,0.841463,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_dapo_0702_reward35b_nothink_100/humaneval_java_to_js.jsonl,0.906098,0.003109,0.951220,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_dapo_0702_reward35b_nothink_100/humaneval_java_to_python.jsonl,0.882927,0.006510,0.932927,0.000000,,,,
