language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_cpp_to_go.jsonl,0.731707,0.005785,0.853659,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_cpp_to_java.jsonl,0.876829,0.005245,0.914634,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_cpp_to_js.jsonl,0.879268,0.004045,0.908537,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_cpp_to_python.jsonl,0.821951,0.003555,0.865854,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_cpp_to_rust.jsonl,0.431707,0.012992,0.835366,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_go_to_cpp.jsonl,0.785366,0.010805,0.878049,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_go_to_java.jsonl,0.851220,0.002439,0.902439,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_go_to_js.jsonl,0.936585,0.006278,0.981707,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_go_to_python.jsonl,0.921951,0.006510,0.957317,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_go_to_rust.jsonl,0.350000,0.022945,0.743902,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_java_to_cpp.jsonl,0.839024,0.003109,0.908537,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_java_to_go.jsonl,0.776829,0.013716,0.902439,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_java_to_js.jsonl,0.920732,0.004312,0.969512,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_java_to_python.jsonl,0.910976,0.003109,0.939024,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_java_to_rust.jsonl,0.313415,0.074719,0.725610,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_js_to_cpp.jsonl,0.847561,0.006395,0.932927,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_js_to_go.jsonl,0.826829,0.005316,0.920732,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_js_to_java.jsonl,0.851220,0.004563,0.920732,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_js_to_python.jsonl,0.898780,0.003109,0.932927,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_js_to_rust.jsonl,0.356098,0.036105,0.786585,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_python_to_cpp.jsonl,0.798780,0.007950,0.896341,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_python_to_go.jsonl,0.704878,0.010491,0.841463,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_python_to_java.jsonl,0.825610,0.008752,0.884146,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_python_to_js.jsonl,0.915854,0.008920,0.963415,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_python_to_rust.jsonl,0.397561,0.025318,0.774390,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_rust_to_cpp.jsonl,0.870732,0.009126,0.926829,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_rust_to_go.jsonl,0.662195,0.007368,0.829268,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_rust_to_java.jsonl,0.812195,0.008043,0.871951,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_rust_to_js.jsonl,0.814634,0.009367,0.884146,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B_dapo_0702_reward35b_think_100/humaneval_rust_to_python.jsonl,0.843902,0.005655,0.878049,0.000000,,,,
total,ALL,0.759146,0.005006,0.884350,0.000000,,,,
