language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_cpp_to_go.jsonl,0.745122,0.009126,0.853659,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_cpp_to_java.jsonl,0.882927,0.005912,0.920732,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_cpp_to_js.jsonl,0.881707,0.003109,0.908537,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_cpp_to_python.jsonl,0.818293,0.006218,0.871951,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_cpp_to_rust.jsonl,0.448780,0.028444,0.743902,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_go_to_cpp.jsonl,0.726829,0.009718,0.871951,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_go_to_java.jsonl,0.818293,0.005589,0.896341,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_go_to_js.jsonl,0.929268,0.006278,0.963415,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_go_to_python.jsonl,0.917073,0.007856,0.969512,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_go_to_rust.jsonl,0.378049,0.018495,0.768293,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_java_to_cpp.jsonl,0.785366,0.004878,0.871951,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_java_to_go.jsonl,0.754878,0.008920,0.841463,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_java_to_js.jsonl,0.937805,0.002281,0.951220,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_java_to_python.jsonl,0.890244,0.005102,0.926829,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_java_to_rust.jsonl,0.390244,0.027809,0.768293,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_js_to_cpp.jsonl,0.780488,0.007950,0.896341,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_js_to_go.jsonl,0.823171,0.005102,0.902439,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_js_to_java.jsonl,0.848780,0.009525,0.914634,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_js_to_python.jsonl,0.893902,0.004954,0.920732,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_js_to_rust.jsonl,0.410976,0.020278,0.750000,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B_grpo_reward35b_nothink_100/humaneval_python_to_cpp.jsonl,0.700000,0.008920,0.865854,0.000000,,,,
