language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_cpp_to_go.jsonl,0.729268,0.006278,0.878049,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_cpp_to_java.jsonl,0.871951,0.005785,0.896341,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_cpp_to_js.jsonl,0.881707,0.004136,0.920732,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_cpp_to_python.jsonl,0.837805,0.005316,0.871951,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_cpp_to_rust.jsonl,0.428049,0.023882,0.798780,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_go_to_cpp.jsonl,0.781707,0.004481,0.859756,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_go_to_java.jsonl,0.845122,0.005316,0.902439,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_go_to_js.jsonl,0.940244,0.006510,0.981707,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_go_to_python.jsonl,0.909756,0.006790,0.951220,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_go_to_rust.jsonl,0.389024,0.032632,0.786585,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_java_to_cpp.jsonl,0.854878,0.006790,0.902439,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_java_to_go.jsonl,0.748780,0.011633,0.878049,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_java_to_js.jsonl,0.926829,0.006098,0.963415,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_java_to_python.jsonl,0.921951,0.004045,0.939024,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_java_to_rust.jsonl,0.467073,0.019721,0.835366,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_js_to_cpp.jsonl,0.831707,0.009564,0.908537,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_js_to_go.jsonl,0.817073,0.010908,0.914634,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_js_to_java.jsonl,0.867073,0.002281,0.902439,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_js_to_python.jsonl,0.900000,0.004563,0.920732,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_js_to_rust.jsonl,0.417073,0.020001,0.823171,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_python_to_cpp.jsonl,0.797561,0.003555,0.859756,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_python_to_go.jsonl,0.702439,0.008920,0.829268,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_python_to_java.jsonl,0.826829,0.006844,0.884146,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_python_to_js.jsonl,0.920732,0.006680,0.963415,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_python_to_rust.jsonl,0.374390,0.014886,0.756098,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_rust_to_cpp.jsonl,0.887805,0.006278,0.926829,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_rust_to_go.jsonl,0.668293,0.009564,0.847561,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_rust_to_java.jsonl,0.807317,0.004563,0.853659,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_rust_to_js.jsonl,0.825610,0.004954,0.884146,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B_grpo_reward35b_think_100/humaneval_rust_to_python.jsonl,0.847561,0.003856,0.865854,0.000000,,,,
