language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_cpp_to_go.jsonl,0.531707,0.007058,0.652439,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_cpp_to_java.jsonl,0.752439,0.004563,0.841463,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_cpp_to_js.jsonl,0.756098,0.003340,0.829268,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_cpp_to_python.jsonl,0.732927,0.016179,0.847561,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_cpp_to_rust.jsonl,0.417073,0.022701,0.646341,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_go_to_cpp.jsonl,0.652439,0.003340,0.786585,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_go_to_java.jsonl,0.736585,0.006510,0.835366,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_go_to_js.jsonl,0.791463,0.004878,0.871951,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_go_to_python.jsonl,0.813415,0.008316,0.932927,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_go_to_rust.jsonl,0.347561,0.011729,0.615854,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_java_to_cpp.jsonl,0.696341,0.004481,0.798780,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_java_to_go.jsonl,0.546341,0.008962,0.682927,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_java_to_js.jsonl,0.867073,0.005245,0.926829,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_java_to_python.jsonl,0.826829,0.008752,0.902439,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_java_to_rust.jsonl,0.412195,0.009945,0.670732,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_js_to_cpp.jsonl,0.698780,0.008752,0.823171,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_js_to_go.jsonl,0.608537,0.007809,0.725610,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_js_to_java.jsonl,0.763415,0.009907,0.853659,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_js_to_python.jsonl,0.846341,0.009126,0.908537,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_js_to_rust.jsonl,0.423171,0.013716,0.640244,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_python_to_cpp.jsonl,0.629268,0.005245,0.786585,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_python_to_go.jsonl,0.487805,0.008405,0.615854,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_python_to_java.jsonl,0.723171,0.007856,0.829268,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_python_to_js.jsonl,0.803659,0.011144,0.884146,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_python_to_rust.jsonl,0.384146,0.003856,0.621951,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_rust_to_cpp.jsonl,0.709756,0.008089,0.841463,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_rust_to_go.jsonl,0.530488,0.003340,0.676829,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_rust_to_java.jsonl,0.718293,0.009907,0.817073,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_rust_to_js.jsonl,0.745122,0.005245,0.817073,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_dapo_0702_reward35b_nothink_100/humaneval_rust_to_python.jsonl,0.728049,0.009945,0.853659,0.000000,,,,
total,ALL,0.656016,0.001156,0.784553,0.000000,,,,
