language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_0702_reward35b_think_100/humaneval_cpp_to_go.jsonl,0.525610,0.002987,0.670732,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_0702_reward35b_think_100/humaneval_cpp_to_java.jsonl,0.829268,0.009641,0.896341,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_0702_reward35b_think_100/humaneval_cpp_to_js.jsonl,0.817073,0.013635,0.890244,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_0702_reward35b_think_100/humaneval_cpp_to_python.jsonl,0.781707,0.005589,0.847561,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_0702_reward35b_think_100/humaneval_cpp_to_rust.jsonl,0.432927,0.017354,0.719512,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_0702_reward35b_think_100/humaneval_go_to_cpp.jsonl,0.734146,0.004563,0.835366,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_0702_reward35b_think_100/humaneval_go_to_java.jsonl,0.780488,0.004312,0.853659,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_0702_reward35b_think_100/humaneval_go_to_js.jsonl,0.859756,0.006680,0.932927,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_0702_reward35b_think_100/humaneval_go_to_python.jsonl,0.878049,0.003340,0.939024,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_0702_reward35b_think_100/humaneval_go_to_rust.jsonl,0.407317,0.011633,0.713415,0.000000,,,,
