language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_reward30b_100/humaneval_cpp_to_go.jsonl,0.543902,0.004045,0.701220,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_reward30b_100/humaneval_cpp_to_java.jsonl,0.784146,0.007368,0.853659,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_reward30b_100/humaneval_cpp_to_js.jsonl,0.782927,0.008752,0.865854,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_reward30b_100/humaneval_cpp_to_python.jsonl,0.753659,0.008752,0.865854,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_reward30b_100/humaneval_cpp_to_rust.jsonl,0.430488,0.017311,0.731707,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_reward30b_100/humaneval_go_to_cpp.jsonl,0.773171,0.011949,0.890244,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_reward30b_100/humaneval_go_to_java.jsonl,0.756098,0.011886,0.829268,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_reward30b_100/humaneval_go_to_js.jsonl,0.828049,0.010093,0.926829,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_reward30b_100/humaneval_go_to_python.jsonl,0.847561,0.006680,0.926829,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_reward30b_100/humaneval_go_to_rust.jsonl,0.398780,0.008962,0.689024,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_dapo_reward30b_100/humaneval_java_to_cpp.jsonl,0.779268,0.009525,0.878049,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_dapo_reward30b_100/humaneval_java_to_go.jsonl,0.645122,0.005245,0.786585,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_dapo_reward30b_100/humaneval_java_to_js.jsonl,0.895122,0.004878,0.951220,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_dapo_reward30b_100/humaneval_java_to_python.jsonl,0.864634,0.003555,0.920732,0.000000,,,,
