language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_cpp_to_go.jsonl,0.587805,0.009564,0.743902,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_cpp_to_java.jsonl,0.836585,0.009327,0.896341,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_cpp_to_js.jsonl,0.819512,0.003109,0.865854,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_cpp_to_python.jsonl,0.795122,0.004136,0.847561,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_cpp_to_rust.jsonl,0.434146,0.023410,0.731707,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_go_to_cpp.jsonl,0.748780,0.004878,0.853659,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_go_to_java.jsonl,0.820732,0.007111,0.902439,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_go_to_js.jsonl,0.868293,0.008752,0.920732,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_go_to_python.jsonl,0.876829,0.001220,0.932927,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_go_to_rust.jsonl,0.432927,0.012644,0.737805,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_java_to_cpp.jsonl,0.757317,0.011472,0.865854,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_java_to_go.jsonl,0.639024,0.009718,0.792683,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_java_to_js.jsonl,0.908537,0.006952,0.957317,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_java_to_python.jsonl,0.850000,0.011177,0.914634,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_java_to_rust.jsonl,0.452439,0.017397,0.725610,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_js_to_cpp.jsonl,0.760976,0.014091,0.871951,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_js_to_go.jsonl,0.697561,0.008752,0.835366,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_js_to_java.jsonl,0.846341,0.006218,0.914634,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_js_to_python.jsonl,0.869512,0.004563,0.926829,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_js_to_rust.jsonl,0.460976,0.017944,0.725610,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_python_to_cpp.jsonl,0.718293,0.012848,0.841463,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_python_to_go.jsonl,0.610976,0.007317,0.762195,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_python_to_java.jsonl,0.814634,0.003109,0.878049,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_python_to_js.jsonl,0.853659,0.012195,0.932927,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_python_to_rust.jsonl,0.397561,0.013275,0.676829,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_rust_to_cpp.jsonl,0.802439,0.006844,0.853659,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_rust_to_go.jsonl,0.559756,0.014986,0.719512,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_dapo_reward30b_ors_100/humaneval_rust_to_java.jsonl,0.819512,0.005655,0.871951,0.000000,,,,
