language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_cpp_to_go.jsonl,0.569512,0.010312,0.713415,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_cpp_to_java.jsonl,0.795122,0.011980,0.884146,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_cpp_to_js.jsonl,0.780488,0.010736,0.865854,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_cpp_to_python.jsonl,0.764634,0.003109,0.853659,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_cpp_to_rust.jsonl,0.451220,0.007950,0.664634,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_go_to_cpp.jsonl,0.636585,0.009367,0.768293,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_go_to_java.jsonl,0.756098,0.005102,0.878049,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_go_to_js.jsonl,0.817073,0.004312,0.890244,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_go_to_python.jsonl,0.832927,0.011665,0.920732,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_go_to_rust.jsonl,0.351220,0.011824,0.597561,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_java_to_cpp.jsonl,0.712195,0.006790,0.823171,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_java_to_go.jsonl,0.591463,0.006680,0.743902,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_java_to_js.jsonl,0.892683,0.002439,0.926829,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_java_to_python.jsonl,0.853659,0.002727,0.920732,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_java_to_rust.jsonl,0.428049,0.016964,0.628049,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_js_to_cpp.jsonl,0.664634,0.018191,0.829268,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_js_to_go.jsonl,0.642683,0.007368,0.798780,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_js_to_java.jsonl,0.793902,0.010805,0.908537,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_js_to_python.jsonl,0.831707,0.003109,0.896341,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_js_to_rust.jsonl,0.389024,0.020624,0.621951,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_python_to_cpp.jsonl,0.612195,0.008752,0.756098,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_python_to_go.jsonl,0.564634,0.011177,0.695122,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_python_to_java.jsonl,0.731707,0.008405,0.829268,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_python_to_js.jsonl,0.809756,0.007567,0.890244,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_python_to_rust.jsonl,0.418293,0.013442,0.682927,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_rust_to_cpp.jsonl,0.737805,0.006680,0.859756,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_rust_to_go.jsonl,0.520732,0.015377,0.695122,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_rust_to_java.jsonl,0.763415,0.005912,0.853659,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_rust_to_js.jsonl,0.719512,0.004312,0.792683,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_drgrpo_reward35b_nothink_100/humaneval_rust_to_python.jsonl,0.753659,0.007111,0.859756,0.000000,,,,
total,ALL,0.672886,0.003062,0.801626,0.000000,,,,
