language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward35b_nothink_100/humaneval_cpp_to_go.jsonl,0.628049,0.017247,0.774390,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward35b_nothink_100/humaneval_cpp_to_java.jsonl,0.837805,0.008316,0.902439,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward35b_nothink_100/humaneval_cpp_to_js.jsonl,0.782927,0.011342,0.835366,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward35b_nothink_100/humaneval_cpp_to_python.jsonl,0.771951,0.006567,0.865854,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward35b_nothink_100/humaneval_cpp_to_rust.jsonl,0.434146,0.016407,0.658537,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward35b_nothink_100/humaneval_go_to_cpp.jsonl,0.671951,0.002987,0.804878,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward35b_nothink_100/humaneval_go_to_java.jsonl,0.803659,0.010805,0.902439,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward35b_nothink_100/humaneval_go_to_js.jsonl,0.835366,0.005785,0.920732,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward35b_nothink_100/humaneval_go_to_python.jsonl,0.852439,0.011309,0.957317,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward35b_nothink_100/humaneval_go_to_rust.jsonl,0.386585,0.011342,0.670732,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reward35b_nothink_100/humaneval_java_to_cpp.jsonl,0.745122,0.009525,0.871951,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reward35b_nothink_100/humaneval_java_to_go.jsonl,0.647561,0.007567,0.798780,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reward35b_nothink_100/humaneval_java_to_js.jsonl,0.874390,0.007368,0.920732,0.000000,,,,
