language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reword30b/humaneval_cpp_to_go.jsonl,0.579268,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reword30b/humaneval_cpp_to_java.jsonl,0.847561,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reword30b/humaneval_cpp_to_js.jsonl,0.792683,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reword30b/humaneval_cpp_to_python.jsonl,0.774390,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reword30b/humaneval_cpp_to_rust.jsonl,0.365854,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reword30b/humaneval_go_to_cpp.jsonl,0.676829,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reword30b/humaneval_go_to_java.jsonl,0.847561,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reword30b/humaneval_go_to_js.jsonl,0.847561,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reword30b/humaneval_go_to_python.jsonl,0.884146,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reword30b/humaneval_go_to_rust.jsonl,0.329268,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reword30b/humaneval_java_to_cpp.jsonl,0.756098,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reword30b/humaneval_java_to_go.jsonl,0.609756,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reword30b/humaneval_java_to_js.jsonl,0.908537,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reword30b/humaneval_java_to_python.jsonl,0.859756,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reword30b/humaneval_java_to_rust.jsonl,0.432927,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reword30b/humaneval_js_to_cpp.jsonl,0.750000,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reword30b/humaneval_js_to_go.jsonl,0.640244,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reword30b/humaneval_js_to_java.jsonl,0.829268,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reword30b/humaneval_js_to_python.jsonl,0.884146,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reword30b/humaneval_js_to_rust.jsonl,0.341463,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reword30b/humaneval_python_to_cpp.jsonl,0.658537,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reword30b/humaneval_python_to_go.jsonl,0.573171,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reword30b/humaneval_python_to_java.jsonl,0.810976,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reword30b/humaneval_python_to_js.jsonl,0.841463,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reword30b/humaneval_python_to_rust.jsonl,0.371951,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_grpo_reword30b/humaneval_rust_to_cpp.jsonl,0.804878,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_grpo_reword30b/humaneval_rust_to_go.jsonl,0.560976,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_grpo_reword30b/humaneval_rust_to_java.jsonl,0.823171,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_grpo_reword30b/humaneval_rust_to_js.jsonl,0.780488,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_grpo_reword30b/humaneval_rust_to_python.jsonl,0.786585,,
