language,input_file,pass@1,pass@1_std,pass@5,pass@5_std,pass@10,pass@10_std,pass@100,pass@100_std
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward80b/humaneval_cpp_to_go.jsonl,0.585366,0.011569,0.652439,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward80b/humaneval_cpp_to_java.jsonl,0.878049,0.008623,0.902439,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward80b/humaneval_cpp_to_js.jsonl,0.775610,0.012195,0.835366,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward80b/humaneval_cpp_to_python.jsonl,0.776829,0.011949,0.835366,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward80b/humaneval_cpp_to_rust.jsonl,0.395122,0.022815,0.567073,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward80b/humaneval_go_to_cpp.jsonl,0.704878,0.013470,0.774390,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward80b/humaneval_go_to_java.jsonl,0.770732,0.009602,0.810976,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward80b/humaneval_go_to_js.jsonl,0.841463,0.011697,0.890244,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward80b/humaneval_go_to_python.jsonl,0.878049,0.010491,0.926829,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward80b/humaneval_go_to_rust.jsonl,0.363415,0.023773,0.554878,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reward80b/humaneval_java_to_cpp.jsonl,0.760976,0.013689,0.841463,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reward80b/humaneval_java_to_go.jsonl,0.598780,0.011949,0.658537,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reward80b/humaneval_java_to_js.jsonl,0.853659,0.008623,0.878049,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reward80b/humaneval_java_to_python.jsonl,0.864634,0.008623,0.896341,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reward80b/humaneval_java_to_rust.jsonl,0.387805,0.024693,0.609756,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reward80b/humaneval_js_to_cpp.jsonl,0.740244,0.015329,0.829268,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reward80b/humaneval_js_to_go.jsonl,0.619512,0.011949,0.682927,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reward80b/humaneval_js_to_java.jsonl,0.837805,0.011569,0.890244,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reward80b/humaneval_js_to_python.jsonl,0.873171,0.008089,0.890244,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reward80b/humaneval_js_to_rust.jsonl,0.396341,0.020696,0.560976,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reward80b/humaneval_python_to_cpp.jsonl,0.664634,0.012437,0.737805,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reward80b/humaneval_python_to_go.jsonl,0.512195,0.012790,0.585366,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reward80b/humaneval_python_to_java.jsonl,0.731707,0.011043,0.774390,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reward80b/humaneval_python_to_js.jsonl,0.773171,0.009602,0.810976,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reward80b/humaneval_python_to_rust.jsonl,0.362195,0.023203,0.548780,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_grpo_reward80b/humaneval_rust_to_cpp.jsonl,0.782927,0.011309,0.841463,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_grpo_reward80b/humaneval_rust_to_go.jsonl,0.546341,0.012195,0.609756,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_grpo_reward80b/humaneval_rust_to_java.jsonl,0.810976,0.012195,0.865854,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_grpo_reward80b/humaneval_rust_to_js.jsonl,0.702439,0.012437,0.768293,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_grpo_reward80b/humaneval_rust_to_python.jsonl,0.787805,0.011440,0.835366,0.000000,,,,
total,ALL,0.685894,0.169422,0.762195,0.124685,,,,
