language,input_file,pass@1,pass@1_std,pass@5,pass@5_std,pass@10,pass@10_std,pass@100,pass@100_std
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_cpp_to_go.jsonl,0.593902,0.017073,0.713415,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_cpp_to_java.jsonl,0.829268,0.010770,0.878049,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_cpp_to_js.jsonl,0.802439,0.012073,0.865854,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_cpp_to_python.jsonl,0.763415,0.009602,0.810976,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_cpp_to_rust.jsonl,0.435366,0.026099,0.689024,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_go_to_cpp.jsonl,0.710976,0.015994,0.823171,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_go_to_java.jsonl,0.817073,0.009756,0.853659,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_go_to_js.jsonl,0.858537,0.010770,0.896341,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_go_to_python.jsonl,0.887805,0.009907,0.926829,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_go_to_rust.jsonl,0.421951,0.027050,0.689024,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_java_to_cpp.jsonl,0.756098,0.014326,0.841463,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_java_to_go.jsonl,0.613415,0.016179,0.731707,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_java_to_js.jsonl,0.913415,0.009602,0.951220,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_java_to_python.jsonl,0.871951,0.008271,0.896341,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_java_to_rust.jsonl,0.479268,0.025927,0.719512,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_js_to_cpp.jsonl,0.773171,0.012437,0.835366,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_js_to_go.jsonl,0.624390,0.015522,0.743902,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_js_to_java.jsonl,0.802439,0.008962,0.829268,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_js_to_python.jsonl,0.869512,0.008089,0.896341,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_js_to_rust.jsonl,0.404878,0.026774,0.670732,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_python_to_cpp.jsonl,0.680488,0.016086,0.804878,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_python_to_go.jsonl,0.562195,0.014222,0.640244,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_python_to_java.jsonl,0.786585,0.010348,0.841463,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_python_to_js.jsonl,0.843902,0.012556,0.902439,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_python_to_rust.jsonl,0.437805,0.023521,0.658537,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_rust_to_cpp.jsonl,0.814634,0.013470,0.878049,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_grpo_reward80b_v2_100/humaneval_rust_to_go.jsonl,0.521951,0.016810,0.634146,0.000000,,,,
